"country1","variation","group_colors","ranking"
"China",-47.1,"#009ee5",1
"India",-21.01,"#0973cb",2
"U.S",3.38,"#384aae",3
"Indonesia",-11.24,"#603c9c",4
"Pakistan",15.89,"#893e9b",5
"Brazil",-22.17,"#be388f",6
"Nigeria",293.98,"#e75c93",7
"Bangladesh",-48.41,"#e53e48",8
"Russia",-27.4,"#f96439",9
"Japan",-53.13,"#f78c24",10
"Ethiopia",116.5,"#f5b314",3
"Egypt",107.29,"#98b245",13
"DRC",203.7,"#40b87b",14
"Tanzania",244.44,"#25a99b",18
"China",-47.1,"#009ee5",24
"India",-21.01,"#0973cb",1
"U.S",3.38,"#384aae",4
"Indonesia",-11.24,"#603c9c",7
"Pakistan",15.89,"#893e9b",5
"Brazil",-22.17,"#be388f",13
"Nigeria",293.98,"#e75c93",2
"Bangladesh",-48.41,"#e53e48",25
"Russia",-27.4,"#f96439",19
"Japan",-53.13,"#f78c24",38
"Ethiopia",116.5,"#f5b314",8
"Egypt",107.29,"#98b245",9
"DRC",203.7,"#40b87b",6
"Tanzania",244.44,"#25a99b",10
