Year,Month,Day,Signal,Typhoon_Name
1990,5,17,3,Marian
1990,5,18,3,Marian
1990,6,17,3,Nathan
1990,6,18,3,Nathan
1990,6,28,1,Percy
1990,6,29,1,Percy
1990,7,28,3,Tasha
1990,7,29,3,Tasha
1990,7,30,3,Tasha
1990,7,31,3,Tasha
1990,8,27,3,Becky
1990,8,28,3,Becky
1990,9,14,1,Ed
1990,9,15,1,Ed
1990,9,16,1,Ed
1990,9,17,1,Ed
1991,7,12,3,Zeke
1991,7,13,3,Zeke
1991,7,18,3,Amy
1991,7,19,3,Amy
1991,7,20,3,Amy
1991,7,22,8,Brendan
1991,7,23,8,Brendan
1991,7,24,8,Brendan
1991,8,13,3,Fred
1991,8,14,3,Fred
1991,8,15,3,Fred
1991,8,16,3,Fred
1991,9,3,3,Joel
1991,9,4,3,Joel
1991,9,5,3,Joel
1991,9,6,3,Joel
1991,9,7,3,Joel
1991,9,16,1,Nat
1991,9,17,1,Nat
1991,9,18,1,Nat
1991,9,23,1,Nat
1991,9,24,1,Nat
1991,9,25,1,Nat
1991,9,29,1,Nat
1991,9,30,1,Nat
1992,6,27,3,Chuck
1992,6,28,3,Chuck
1992,7,11,3,Eli
1992,7,12,3,Eli
1992,7,13,3,Eli
1992,7,17,3,Faye
1992,7,18,3,Faye
1992,7,20,8,Gary
1992,7,21,8,Gary
1992,7,22,8,Gary
1992,8,16,1,Mark
1992,8,17,1,Mark
1993,6,26,8,Koryn
1993,6,27,8,Koryn
1993,6,28,8,Koryn
1993,7,10,1,Lewis
1993,8,18,8,Tasha
1993,8,19,8,Tasha
1993,8,20,8,Tasha
1993,8,21,8,Tasha
1993,8,25,1,Winona
1993,8,26,1,Winona
1993,9,12,1,Abe
1993,9,13,1,Abe
1993,9,14,1,Abe
1993,9,16,8,Becky
1993,9,17,8,Becky
1993,9,25,8,Dot
1993,9,26,8,Dot
1993,10,12,1,no name
1993,10,13,1,no name
1993,11,2,3,Ira
1993,11,3,3,Ira
1993,11,4,3,Ira
1993,11,5,3,Ira
1994,6,5,3,Russ
1994,6,6,3,Russ
1994,6,7,3,Russ
1994,6,24,1,Sharon
1994,6,25,1,Sharon
1994,8,25,3,Harry
1994,8,26,3,Harry
1994,8,27,3,Harry
1994,9,11,3,Luke
1994,9,12,3,Luke
1995,7,28,1,Gary
1995,7,29,1,Gary
1995,7,30,1,Gary
1995,7,31,1,Gary
1995,8,9,8,Helen
1995,8,10,8,Helen
1995,8,11,8,Helen
1995,8,12,8,Helen
1995,8,18,1,Irving
1995,8,19,1,Irving
1995,8,27,1,Lois
1995,8,28,1,Lois
1995,8,30,8,Kent
1995,8,31,8,Kent
1995,9,1,8,Kent
1995,9,6,1,Nina
1995,9,7,1,Nina
1995,9,19,1,Ryan
1995,9,20,1,Ryan
1995,9,21,1,Ryan
1995,10,1,8,Sibyl
1995,10,2,8,Sibyl
1995,10,3,8,Sibyl
1996,7,21,1,Frankie
1996,7,22,1,Frankie
1996,7,26,1,Gloria
1996,7,27,1,Gloria
1996,8,6,1,Lisa
1996,8,20,1,Niki
1996,8,21,1,Niki
1996,9,8,8,Sally
1996,9,9,8,Sally
1996,9,18,1,Willie
1996,9,19,1,Willie
1996,9,20,1,Willie
1996,10,19,1,Beth
1996,10,20,1,Beth
1997,7,31,9,Victor
1997,8,1,9,Victor
1997,8,2,9,Victor
1997,8,3,9,Victor
1997,8,20,3,Zita
1997,8,21,3,Zita
1997,8,22,3,Zita
1998,8,9,3,Penny
1998,8,10,3,Penny
1998,8,21,1,no name
1998,8,22,1,no name
1998,9,12,1,no name
1998,9,13,1,no name
1998,10,15,1,Zeb
1998,10,16,1,Zeb
1998,10,23,3,Babs
1998,10,24,3,Babs
1998,10,25,3,Babs
1998,10,26,3,Babs
1999,4,29,8,Leo
1999,4,30,8,Leo
1999,5,1,8,Leo
1999,5,2,8,Leo
1999,6,5,9,Maggie
1999,6,6,9,Maggie
1999,6,7,9,Maggie
1999,6,8,9,Maggie
1999,7,25,3,no name
1999,7,26,3,no name
1999,7,27,3,no name
1999,8,20,8,Sam
1999,8,21,8,Sam
1999,8,22,8,Sam
1999,8,23,8,Sam
1999,9,3,1,Wendy
1999,9,4,1,Wendy
1999,9,13,10,York
1999,9,14,10,York
1999,9,15,10,York
1999,9,16,10,York
1999,9,17,10,York
1999,9,24,8,Cam
1999,9,25,8,Cam
1999,9,26,8,Cam
1999,10,5,3,Dan
1999,10,6,3,Dan
1999,10,7,3,Dan
1999,10,8,3,Dan
1999,10,9,3,Dan
2000,6,18,3,no name
2000,6,19,3,no name
2000,7,6,1,Kai-tak
2000,7,7,1,Kai-tak
2000,7,8,1,Kai-tak
2000,7,9,1,Kai-tak
2000,7,15,1,no name
2000,7,16,1,no name
2000,8,23,1,Bilis
2000,8,27,1,Maria
2000,8,28,1,Maria
2000,8,29,1,Maria
2000,8,31,3,Maria
2000,9,1,3,Maria
2000,9,6,3,Wukong
2000,9,7,3,Wukong
2000,9,8,3,Wukong
2000,9,9,3,Wukong
2000,11,4,1,Bebinca
2000,11,5,1,Bebinca
2000,11,6,1,Bebinca
2000,11,7,1,Bebinca
2000,11,8,1,Bebinca
2001,6,22,1,Chebi
2001,6,23,1,Chebi
2001,6,30,3,Durian
2001,7,1,3,Durian
2001,7,2,3,Durian
2001,7,4,8,Utor
2001,7,5,8,Utor
2001,7,6,8,Utor
2001,7,7,8,Utor
2001,7,23,8,Yutu
2001,7,24,8,Yutu
2001,7,25,8,Yutu
2001,7,26,8,Yutu
2001,8,28,1,Fitow
2001,8,29,1,Fitow
2001,8,30,1,Fitow
2001,9,19,3,Nari
2001,9,20,3,Nari
2002,8,3,1,Kammuri
2002,8,4,1,Kammuri
2002,8,5,1,Kammuri
2002,8,17,1,Vongfong
2002,8,18,1,Vongfong
2002,8,19,1,Vongfong
2002,8,20,1,Vongfong
2002,9,10,8,Hagupit
2002,9,11,8,Hagupit
2002,9,12,8,Hagupit
2003,7,20,1,Koni
2003,7,21,1,Koni
2003,7,22,8,Imbudo
2003,7,23,8,Imbudo
2003,7,24,8,Imbudo
2003,8,23,3,Krovanh
2003,8,24,3,Krovanh
2003,8,25,3,Krovanh
2003,9,1,9,Dujuan
2003,9,2,9,Dujuan
2003,9,3,9,Dujuan
2004,6,8,1,Conson
2004,6,9,1,Conson
2004,7,14,8,Kompasu
2004,7,15,8,Kompasu
2004,7,16,8,Kompasu
2004,8,26,1,Aere
2004,8,27,1,Aere
2005,8,12,1,Sanvu
2005,8,13,1,Sanvu
2005,9,17,1,Vicente
2005,9,18,1,Vicente
2005,9,22,3,Damrey
2005,9,23,3,Damrey
2005,9,24,3,Damrey
2005,9,25,3,Damrey
2005,9,26,3,Damrey
2006,5,15,3,Chanchu
2006,5,16,3,Chanchu
2006,5,17,3,Chanchu
2006,5,18,3,Chanchu
2006,6,27,1,Jelawat
2006,6,28,1,Jelawat
2006,8,1,3,Prapiroon
2006,8,2,3,Prapiroon
2006,8,3,3,Prapiroon
2006,8,4,3,Prapiroon
2006,8,9,1,Bopha
2006,8,10,1,Bopha
2006,8,24,1,no name
2006,8,25,1,no name
2006,9,12,3,no name
2006,9,13,3,no name
2006,10,31,1,Cimaron
2006,11,1,1,Cimaron
2006,11,2,1,Cimaron
2006,11,3,1,Cimaron
2007,8,8,3,Pabuk
2007,8,9,3,Pabuk
2007,8,10,8,Pabuk
2007,8,11,8,Pabuk
2007,9,23,1,Francisco
2007,9,24,1,Francisco
2008,4,17,3,Neoguri
2008,4,18,3,Neoguri
2008,4,19,3,Neoguri
2008,4,20,3,Neoguri
2008,6,23,8,Fengshen
2008,6,24,8,Fengshen
2008,6,25,8,Fengshen
2008,8,4,8,Kammuri
2008,8,5,8,Kammuri
2008,8,6,8,Kammuri
2008,8,7,8,Kammuri
2008,8,20,9,Nuri
2008,8,21,9,Nuri
2008,8,22,9,Nuri
2008,8,23,9,Nuri
2008,9,22,8,Hagupit
2008,9,23,8,Hagupit
2008,9,24,8,Hagupit
2008,10,2,1,Higos
2008,10,3,1,Higos
2008,10,4,1,Higos
2009,6,20,1,Linfa
2009,6,21,1,Linfa
2009,6,26,3,Nangka
2009,6,27,3,Nangka
2009,7,10,3,Soudelor
2009,7,11,3,Soudelor
2009,7,12,3,Soudelor
2009,7,17,9,Molave
2009,7,18,9,Molave
2009,7,19,9,Molave
2009,8,3,8,Goni
2009,8,4,8,Goni
2009,8,5,8,Goni
2009,9,10,3,Mujigae
2009,9,11,3,Mujigae
2009,9,13,8,Koppu
2009,9,14,8,Koppu
2009,9,15,8,Koppu
2009,9,27,1,Ketsana
2009,9,28,1,Ketsana
2010,7,15,1,Conson
2010,7,16,1,Conson
2010,7,20,3,Chanthu
2010,7,21,3,Chanthu
2010,7,22,3,Chanthu
2010,8,29,1,Lionrock
2010,8,30,1,Lionrock
2010,9,2,1,Lionrock
2010,9,3,1,Lionrock
2010,9,19,3,Fanapi
2010,9,20,3,Fanapi
2010,9,21,3,Fanapi
2010,10,20,3,Megi
2010,10,21,3,Megi
2010,10,22,3,Megi
2011,6,10,1,Sarika
2011,6,11,1,Sarika
2011,6,20,3,Haima
2011,6,21,3,Haima
2011,6,22,3,Haima
2011,6,23,3,Haima
2011,7,28,3,Nock-ten
2011,7,29,3,Nock-ten
2011,9,27,8,Nesat
2011,9,28,8,Nesat
2011,9,29,8,Nesat
2011,9,30,8,Nesat
2011,10,2,3,Nalgae
2011,10,3,3,Nalgae
2012,6,17,3,Talim
2012,6,18,3,Talim
2012,6,19,3,Talim
2012,6,28,8,Doksuri
2012,6,29,8,Doksuri
2012,6,30,8,Doksuri
2012,7,21,10,Vicente
2012,7,22,10,Vicente
2012,7,23,10,Vicente
2012,7,24,10,Vicente
2012,8,15,8,Kai-tak
2012,8,16,8,Kai-tak
2012,8,17,8,Kai-tak
2012,8,24,1,Tembin
2012,8,25,1,Tembin
2012,8,26,1,Tembin
2013,6,21,3,Bebinca
2013,6,22,3,Bebinca
2013,6,30,3,Rumbia
2013,7,1,3,Rumbia
2013,7,2,3,Rumbia
2013,7,17,1,Cimaron
2013,7,18,1,Cimaron
2013,8,1,3,Jebi
2013,8,2,3,Jebi
2013,8,12,8,Utor
2013,8,13,8,Utor
2013,8,14,8,Utor
2013,8,15,8,Utor
2013,9,21,8,Usagi
2013,9,22,8,Usagi
2013,9,23,8,Usagi
2013,11,1,1,Krosa
2013,11,2,1,Krosa
2013,11,3,1,Krosa
