"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,109,"IRL","Ireland",1,"Carlow","Administrative County","County",NA,"Ceatharlach"
2,109,"IRL","Ireland",2,"Cavan","Administrative County","County",NA,"An Cabhán"
3,109,"IRL","Ireland",3,"Clare","Administrative County","County",NA,"An Clár"
4,109,"IRL","Ireland",4,"Cork","Traditional County","County",NA,"Corcaigh"
5,109,"IRL","Ireland",5,"Donegal","Administrative County","County",NA,"Dún na nGall|Tyrconnel"
6,109,"IRL","Ireland",6,"Dublin","Administrative County","County",NA,"Baile Átha Cliath"
7,109,"IRL","Ireland",7,"Galway","Traditional County","County",NA,"Gaillimh"
8,109,"IRL","Ireland",8,"Kerry","Administrative County","County",NA,"Ciarraí"
9,109,"IRL","Ireland",9,"Kildare","Administrative County","County",NA,"Cill Dara"
10,109,"IRL","Ireland",10,"Kilkenny","Administrative County","County",NA,"Cill Chainnigh"
11,109,"IRL","Ireland",11,"Laoighis","Administrative County","County",NA,"Laois|Leix|Queens"
12,109,"IRL","Ireland",12,"Leitrim","Administrative County","County",NA,"Liatroim"
13,109,"IRL","Ireland",13,"Limerick","Traditional County","County",NA,"Luimneach"
14,109,"IRL","Ireland",14,"Longford","Administrative County","County",NA,"An Longfort"
15,109,"IRL","Ireland",15,"Louth","Administrative County","County",NA,"Lú"
16,109,"IRL","Ireland",16,"Mayo","Administrative County","County",NA,"Maigh Eo"
17,109,"IRL","Ireland",17,"Meath","Administrative County","County",NA,"An Mhí"
18,109,"IRL","Ireland",18,"Monaghan","Administrative County","County",NA,"Muineachán"
19,109,"IRL","Ireland",19,"Offaly","Administrative County","County",NA,"Uíbh Fhailí|Kings"
20,109,"IRL","Ireland",20,"Roscommon","Administrative County","County",NA,"Ros Comáin"
21,109,"IRL","Ireland",21,"Sligo","Administrative County","County",NA,"Sligeach"
22,109,"IRL","Ireland",22,"Tipperary","Administrative County","County",NA,"Tiobraid Árann"
23,109,"IRL","Ireland",23,"Waterford","Traditional County","County",NA,"Port Láirge"
24,109,"IRL","Ireland",24,"Westmeath","Administrative County","County",NA,"An Iarmhí"
25,109,"IRL","Ireland",25,"Wexford","Administrative County","County",NA,"Loch Garman"
26,109,"IRL","Ireland",26,"Wicklow","Administrative County","County",NA,"Cill Mhantáin"
