"YEAR","Western Europe","Eastern Europe","Western Offshoots","Latin America and Carribean","East Asia","South and Southeast Asia)","Middle East and North Africa","Sub-Saharan Africa","World"
1820,"2 307","818","2 513","953","1 089","929","974","800","1 174"
1830,"2 384","942",NA,NA,NA,NA,NA,NA,NA
1840,"2 580","907",NA,NA,NA,NA,NA,NA,NA
1850,"2 678","985","3 474","1 081","900","929","1 000","800","1 225"
1860,"3 034","1 358","4 214","1 588",NA,NA,NA,NA,NA
1870,"3 301","1 575","4 647","1 319","989","850","1 165","800","1 498"
1880,"3 585","1 886","6 019",NA,NA,NA,NA,NA,NA
1890,"4 079","2 204","6 481","1 673",NA,"951",NA,NA,NA
1900,"4 724","2 700","7 741","1 751","1 086","994","1 300","850","2 212"
1910,"5 135","2 283","9 355","2 194",NA,"1 143",NA,NA,NA
1920,"4 884","1 343","9 741","2 331","1 160","1 117","900","950","2 241"
1930,"6 409","2 464","10 297","2 700","1 273","1 299","1 600",NA,NA
1940,"7 185","3 209","11 621","3 024","1 361","1 235","2 146","1 100","3 133"
1950,"7 263","4 082","14 773","3 713","1 122","1 070","2 393","1 323","3 351"
1960,"10 974","5 779","17 472","4 751","1 735","1 295","3 110","1 574","4 386"
1970,"16 161","8 241","23 210","6 286","3 042","1 546","4 801","1 958","5 952"
1980,"20 950","9 933","28 787","8 728","4 212","1 897","6 742","2 026","7 233"
1990,"25 440","10 344","35 619","8 132","6 121","2 574","6 435","1 801","8 222"
2000,"32 536","8 986","44 329","10 225","8 164","3 437","9 640","1 981","9 915"
2010,"37 318","17 021","48 090","13 453","12 853","5 367","16 716","3 156","13 179"
2016,"38 511","19 446","51 668","14 090","15 698","6 991","18 010","3 491","14 700"
